Titulo;ISSN;eISSN;Categorias;Indices;Citacoes;JIF_2025;QuartilMelhor;Quartis
npj Mental Health Research;N/A;27314251;PSYCHIATRY;ESCI;845;9.1;Q1;Q1
ONCOGENE;09509232;14765594;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY | GENETICS & HEREDITY | ONCOLOGY;SCIE;59393;9.1;Q1;Q1
PATTERN RECOGNITION;00313203;18735142;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;55105;9.1;Q1;Q1
Plant Nano Biology;N/A;27731111;NANOSCIENCE & NANOTECHNOLOGY | PLANT SCIENCES;ESCI;1244;9.1;Q1;Q1
Renewable Energy;09601481;18790682;ENERGY & FUELS | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE;139280;9.1;Q1;Q1
SEPARATION AND PURIFICATION TECHNOLOGY;13835866;18733794;ENGINEERING, CHEMICAL;SCIE;159203;9.1;Q1;Q1
Supply Chain Analytics;N/A;29498635;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;ESCI;770;9.1;Q1;Q1
Sustainable Chemistry for Climate Action;N/A;27728269;CHEMISTRY, MULTIDISCIPLINARY | ENGINEERING, CHEMICAL | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;ESCI;547;9.1;Q1;Q1
THORAX;00406376;14683296;RESPIRATORY SYSTEM;SCIE;22043;9.1;Q1;Q1
Tourism Review;16605373;17598451;HOSPITALITY, LEISURE, SPORT & TOURISM;SSCI;6243;9.1;Q1;Q1
ACS Engineering Au;N/A;26942488;ENGINEERING, CHEMICAL;ESCI;1204;9;Q1;Q1
APOPTOSIS;13608185;1573675X;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY;SCIE;8879;9;Q1;Q1
Cell Chemical Biology;24519456;24519448;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;10508;9;Q1;Q1
ECOLOGICAL MONOGRAPHS;00129615;15577015;ECOLOGY;SCIE;13996;9;Q1;Q1
Economic Analysis and Policy;03135926;22042296;ECONOMICS;SSCI;12314;9;Q1;Q1
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;09521976;18736769;AUTOMATION & CONTROL SYSTEMS | COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | ENGINEERING, ELECTRICAL & ELECTRONIC | ENGINEERING, MULTIDISCIPLINARY;SCIE;57137;9;Q1;Q1
High-Confidence Computing;N/A;26672952;COMPUTER SCIENCE, INFORMATION SYSTEMS;ESCI;1094;9;Q1;Q1
International Journal of Surgery;17439191;17439159;SURGERY;SCIE;27155;9;Q1;Q1
Journal of Hazardous Materials Letters;26669110;26669110;ENGINEERING, ENVIRONMENTAL | ENVIRONMENTAL SCIENCES;ESCI;1243;9;Q1;Q1
JOURNAL OF ORGANIZATIONAL BEHAVIOR;08943796;10991379;BUSINESS | MANAGEMENT | PSYCHOLOGY, APPLIED;SSCI;21248;9;Q1;Q1
NPG Asia Materials;18844049;18844057;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;8373;9;Q1;Q1
npj Quantum Information;N/A;20566387;PHYSICS, APPLIED | PHYSICS, ATOMIC, MOLECULAR & CHEMICAL | PHYSICS, CONDENSED MATTER | QUANTUM SCIENCE & TECHNOLOGY;SCIE;9741;9;Q1;Q1
PSYCHOTHERAPY AND PSYCHOSOMATICS;00333190;14230348;PSYCHIATRY | PSYCHOLOGY;SCIE | SCIE, SSCI;6961;9;Q1;Q1
Sustainable Food Technology;N/A;27538095;FOOD SCIENCE & TECHNOLOGY;ESCI;2041;9;Q1;Q1
Sustainable Structures;27893111;2789312X;CONSTRUCTION & BUILDING TECHNOLOGY | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;ESCI;671;9;Q1;Q1
Tungsten;26618028;26618036;MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED;ESCI;1909;9;Q1;Q1
AI Open;N/A;26666510;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;ESCI;2476;8.9;Q1;Q1
Alzheimers Research & Therapy;N/A;17589193;CLINICAL NEUROLOGY | NEUROSCIENCES;SCIE;15362;8.9;Q1;Q1
CHEMICAL RECORD;15278999;15280691;CHEMISTRY, MULTIDISCIPLINARY;SCIE;9984;8.9;Q1;Q1
CLADISTICS;07483007;10960031;EVOLUTIONARY BIOLOGY | ZOOLOGY;SCIE;4357;8.9;Q1;Q1
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;01989715;18737587;ENVIRONMENTAL STUDIES | GEOGRAPHY | REGIONAL & URBAN PLANNING;SSCI;9809;8.9;Q1;Q1
Construction and Building Materials;09500618;18790526;CONSTRUCTION & BUILDING TECHNOLOGY | ENGINEERING, CIVIL | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;334945;8.9;Q1;Q1
GetMobile-Mobile Computing & Communications Review;23750529;23750537;TELECOMMUNICATIONS;ESCI;459;8.9;Q1;Q1
Gondwana Research;1342937X;18780571;GEOSCIENCES, MULTIDISCIPLINARY;SCIE;22385;8.9;Q1;Q1
Information Processing in Agriculture;22143173;22143173;AGRICULTURE, MULTIDISCIPLINARY | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;SCIE;3081;8.9;Q1;Q1
JOURNAL OF RETAILING;00224359;18733271;BUSINESS;SSCI;9524;8.9;Q1;Q1
NEUROLOGY;00283878;1526632X;CLINICAL NEUROLOGY;SCIE;103094;8.9;Q1;Q1
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE;14602725;14602393;MEDICINE, GENERAL & INTERNAL;SCIE;6592;8.9;Q1;Q1
RESEARCH POLICY;00487333;18737625;MANAGEMENT;SSCI;37957;8.9;Q1;Q1
Small Structures;N/A;26884062;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;8327;8.9;Q1;Q1
Advanced Biotechnology;N/A;29482801;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;ESCI;468;8.8;Q1;Q1
Annual Review of Nuclear and Particle Science;01638998;15454134;PHYSICS, NUCLEAR | PHYSICS, PARTICLES & FIELDS;SCIE;4644;8.8;Q1;Q1
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY;10795642;15244636;HEMATOLOGY | PERIPHERAL VASCULAR DISEASE;SCIE;36197;8.8;Q1;Q1
Electronic Markets;10196781;14228890;BUSINESS | MANAGEMENT;SSCI;5469;8.8;Q1;Q1
Energy Conversion and Management-X;25901745;25901745;ENERGY & FUELS | MECHANICS | THERMODYNAMICS;ESCI;8448;8.8;Q1;Q1
Environment & Health;28338278;28338278;ENVIRONMENTAL SCIENCES | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;ESCI;1443;8.8;Q1;Q1
FOOD RESEARCH INTERNATIONAL;09639969;18737145;FOOD SCIENCE & TECHNOLOGY;SCIE;97821;8.8;Q1;Q1
Global Sustainability;N/A;20594798;ENVIRONMENTAL SCIENCES | ENVIRONMENTAL STUDIES | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;ESCI;1576;8.8;Q1;Q1
IEEE NETWORK;08908044;1558156X;COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | COMPUTER SCIENCE, INFORMATION SYSTEMS | ENGINEERING, ELECTRICAL & ELECTRONIC | TELECOMMUNICATIONS;SCIE;12512;8.8;Q1;Q1
IEEE TRANSACTIONS ON MOBILE COMPUTING;15361233;15580660;COMPUTER SCIENCE, INFORMATION SYSTEMS | TELECOMMUNICATIONS;SCIE;24015;8.8;Q1;Q1
Interactive Technology and Smart Education;17415659;17588510;EDUCATION & EDUCATIONAL RESEARCH;ESCI;1207;8.8;Q1;Q1
International Journal of Minerals Metallurgy and Materials;16744799;1869103X;MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING | MINING & MINERAL PROCESSING;SCIE;11542;8.8;Q1;Q1
JOURNAL OF FINANCIAL ECONOMICS;0304405X;N/A;BUSINESS, FINANCE | ECONOMICS;SSCI;59829;8.8;Q1;Q1
JOURNAL OF MEDICAL SYSTEMS;01485598;1573689X;HEALTH CARE SCIENCES & SERVICES | MEDICAL INFORMATICS;SCIE;8300;8.8;Q1;Q1
JOURNAL OF MEMBRANE SCIENCE;03767388;18733123;ENGINEERING, CHEMICAL | POLYMER SCIENCE;SCIE;93913;8.8;Q1;Q1
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE;00920703;15527824;BUSINESS;SSCI;25390;8.8;Q1;Q1
LEUKEMIA;08876924;14765551;HEMATOLOGY | ONCOLOGY;SCIE;31482;8.8;Q1;Q1
npj Ocean Sustainability;N/A;2731426X;ENVIRONMENTAL SCIENCES | MARINE & FRESHWATER BIOLOGY;ESCI;758;8.8;Q1;Q1
Optica;23342536;23342536;OPTICS;SCIE;23509;8.8;Q1;Q1
Sustainability Accounting Management and Policy Journal;20408021;2040803X;BUSINESS, FINANCE | ENVIRONMENTAL STUDIES | MANAGEMENT;SSCI;3952;8.8;Q1;Q1
ARCHIVOS DE BRONCONEUMOLOGIA;03002896;15792129;RESPIRATORY SYSTEM;SCIE;3328;8.7;Q1;Q1
BMC Medicine;17417015;17417015;MEDICINE, GENERAL & INTERNAL;SCIE;38473;8.7;Q1;Q1
CLINICAL MICROBIOLOGY AND INFECTION;1198743X;14690691;INFECTIOUS DISEASES | MICROBIOLOGY;SCIE;27908;8.7;Q1;Q1
Computer Assisted Language Learning;09588221;17443210;EDUCATION & EDUCATIONAL RESEARCH | LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;6634;8.7;Q1;Q1
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY;10409238;15497798;BIOCHEMISTRY & MOLECULAR BIOLOGY;SCIE;4172;8.7;Q1;Q1
CRITICAL REVIEWS IN BIOTECHNOLOGY;07388551;15497801;BIOTECHNOLOGY & APPLIED MICROBIOLOGY;SCIE;9397;8.7;Q1;Q1
Deutsches Arzteblatt International;18660452;18660452;MEDICINE, GENERAL & INTERNAL;SCIE;10470;8.7;Q1;Q1
Developments in the Built Environment;N/A;26661659;CONSTRUCTION & BUILDING TECHNOLOGY | ENGINEERING, CIVIL;SCIE;5570;8.7;Q1;Q1
Device;N/A;26669986;MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;2343;8.7;Q1;Q1
DRUG DISCOVERY TODAY;13596446;18785832;PHARMACOLOGY & PHARMACY;SCIE;25524;8.7;Q1;Q1
Ecological Indicators;1470160X;18727034;ENVIRONMENTAL SCIENCES;SCIE;89047;8.7;Q1;Q1
IEEE Internet of Things Journal;23274662;23274662;COMPUTER SCIENCE, INFORMATION SYSTEMS | ENGINEERING, ELECTRICAL & ELECTRONIC | TELECOMMUNICATIONS;SCIE;98906;8.7;Q1;Q1
IEEE Transactions on Information Forensics and Security;15566013;15566021;COMPUTER SCIENCE, THEORY & METHODS | ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;28422;8.7;Q1;Q1
IEEE TRANSACTIONS ON POWER SYSTEMS;08858950;15580679;ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;51215;8.7;Q1;Q1
International Journal of Biological Macromolecules;01418130;18790003;BIOCHEMISTRY & MOLECULAR BIOLOGY | CHEMISTRY, APPLIED | POLYMER SCIENCE;SCIE;294329;8.7;Q1;Q1
International Journal of Nanomedicine;11769114;11782013;NANOSCIENCE & NANOTECHNOLOGY | PHARMACOLOGY & PHARMACY;SCIE;49046;8.7;Q1;Q1
INTERNATIONAL JOURNAL OF NURSING STUDIES;00207489;1873491X;NURSING;SCIE, SSCI;21008;8.7;Q1;Q1
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;00207543;1366588X;ENGINEERING, INDUSTRIAL | ENGINEERING, MANUFACTURING | OPERATIONS RESEARCH & MANAGEMENT SCIENCE;SCIE;39787;8.7;Q1;Q1
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING;01678116;18738001;BUSINESS;SSCI;6858;8.7;Q1;Q1
JHEP Reports;N/A;25895559;GASTROENTEROLOGY & HEPATOLOGY;SCIE;7614;8.7;Q1;Q1
JOURNAL OF HEADACHE AND PAIN;11292369;11292377;CLINICAL NEUROLOGY | NEUROSCIENCES;SCIE;11304;8.7;Q1;Q1
JOURNAL OF INFORMATION TECHNOLOGY;02683962;14664437;COMPUTER SCIENCE, INFORMATION SYSTEMS | INFORMATION SCIENCE & LIBRARY SCIENCE | MANAGEMENT;SCIE | SSCI;2866;8.7;Q1;Q1
NEW PHYTOLOGIST;0028646X;14698137;PLANT SCIENCES;SCIE;104305;8.7;Q1;Q1
ORGANIZATIONAL RESEARCH METHODS;10944281;15527425;MANAGEMENT | PSYCHOLOGY, APPLIED;SSCI;15392;8.7;Q1;Q1
Regenerative Biomaterials;20563418;20563426;MATERIALS SCIENCE, BIOMATERIALS;SCIE;5337;8.7;Q1;Q1
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS;13899155;15732606;ENDOCRINOLOGY & METABOLISM;SCIE;6555;8.7;Q1;Q1
Small Methods;23669608;23669608;CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY;SCIE;26974;8.7;Q1;Q1
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT;13619209;18792340;ENVIRONMENTAL STUDIES | TRANSPORTATION | TRANSPORTATION SCIENCE & TECHNOLOGY;SCIE | SSCI;31027;8.7;Q1;Q1
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY;08867798;18784364;CONSTRUCTION & BUILDING TECHNOLOGY | ENGINEERING, CIVIL;SCIE;44573;8.7;Q1;Q1
Water Resources and Industry;N/A;22123717;WATER RESOURCES;SCIE;1762;8.7;Q1;Q1
Wiley Interdisciplinary Reviews-Water;20491948;20491948;ENVIRONMENTAL SCIENCES | WATER RESOURCES;SCIE;6487;8.7;Q1;Q1
ACS Materials Letters;N/A;26394979;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;15911;8.6;Q1;Q1
Annual Review of Political Science;10942939;15451577;POLITICAL SCIENCE;SSCI;8382;8.6;Q1;Q1
Biomimetic Intelligence and Robotics;20970242;26673797;ROBOTICS;ESCI;867;8.6;Q1;Q1
CANADIAN MEDICAL ASSOCIATION JOURNAL;08203946;14882329;MEDICINE, GENERAL & INTERNAL;SCIE;18542;8.6;Q1;Q1
Chip;27094723;27722724;ENGINEERING, ELECTRICAL & ELECTRONIC | OPTICS | PHYSICS, APPLIED;ESCI;881;8.6;Q1;Q1
Composites Communications;24522139;24522139;MATERIALS SCIENCE, COMPOSITES;SCIE;14855;8.6;Q1;Q1
Crop and Environment;N/A;2773126X;AGRONOMY;ESCI;794;8.6;Q1;Q1
Current Opinion in Chemical Engineering;22113398;22113398;BIOTECHNOLOGY & APPLIED MICROBIOLOGY | ENGINEERING, CHEMICAL;SCIE;6037;8.6;Q1;Q1
Current Opinion in Environmental Sustainability;18773435;18773443;ENVIRONMENTAL SCIENCES | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY;SCIE;10699;8.6;Q1;Q1 | Q2
Human Reproduction Open;N/A;23993529;OBSTETRICS & GYNECOLOGY | REPRODUCTIVE BIOLOGY;SCIE;3367;8.6;Q1;Q1
Information Technology & Tourism;10983058;19434294;HOSPITALITY, LEISURE, SPORT & TOURISM;SSCI;1910;8.6;Q1;Q1
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT;01443577;17586593;MANAGEMENT;SSCI;10331;8.6;Q1;Q1
Journal of CO2 Utilization;22129820;22129839;CHEMISTRY, MULTIDISCIPLINARY | ENGINEERING, CHEMICAL;SCIE;21584;8.6;Q1;Q1
JOURNAL OF SERVICE RESEARCH;10946705;15527379;BUSINESS | MANAGEMENT;SSCI;8439;8.6;Q1;Q1
REVIEW OF EDUCATIONAL RESEARCH;00346543;19351046;EDUCATION & EDUCATIONAL RESEARCH;SSCI;16590;8.6;Q1;Q1
TRENDS IN CARDIOVASCULAR MEDICINE;10501738;18732615;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;4641;8.6;Q1;Q1
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology;19395116;19390041;MEDICINE, RESEARCH & EXPERIMENTAL | NANOSCIENCE & NANOTECHNOLOGY;SCIE;6230;8.6;Q1;Q1
aBIOTECH;20966326;26621738;BIOTECHNOLOGY & APPLIED MICROBIOLOGY | PLANT SCIENCES;ESCI;1151;8.5;Q1;Q1
AMERICAN JOURNAL OF GASTROENTEROLOGY;00029270;15720241;GASTROENTEROLOGY & HEPATOLOGY;SCIE;35562;8.5;Q1;Q1
BIODRUGS;11738804;1179190X;IMMUNOLOGY | ONCOLOGY | PHARMACOLOGY & PHARMACY;SCIE;4076;8.5;Q1;Q1
BRITISH JOURNAL OF PSYCHIATRY;00071250;14721465;PSYCHIATRY;SCIE, SSCI;24973;8.5;Q1;Q1
Cambridge Prisms-Coastal Futures;N/A;27547205;ENVIRONMENTAL SCIENCES | MARINE & FRESHWATER BIOLOGY;ESCI;507;8.5;Q1;Q1
Cold Spring Harbor Perspectives in Biology;19430264;19430264;CELL BIOLOGY;SCIE;24266;8.5;Q1;Q1
Earths Future;N/A;23284277;ENVIRONMENTAL SCIENCES | GEOSCIENCES, MULTIDISCIPLINARY | METEOROLOGY & ATMOSPHERIC SCIENCES;SCIE;15463;8.5;Q1;Q1
Ecological Informatics;15749541;18780512;ECOLOGY;SCIE;17272;8.5;Q1;Q1
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY;10785884;15322165;PERIPHERAL VASCULAR DISEASE | SURGERY;SCIE;13217;8.5;Q1;Q1
European Urology Oncology;N/A;25889311;ONCOLOGY | UROLOGY & NEPHROLOGY;SCIE;5187;8.5;Q1;Q1
Extracellular Vesicles and Circulating Nucleic Acids;N/A;27676641;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY;ESCI;865;8.5;Q1;Q1
HABITAT INTERNATIONAL;01973975;18735428;DEVELOPMENT STUDIES | ENVIRONMENTAL STUDIES | REGIONAL & URBAN PLANNING | URBAN STUDIES;SSCI;15031;8.5;Q1;Q1
HUMAN RESOURCE MANAGEMENT;00904848;1099050X;MANAGEMENT | PSYCHOLOGY, APPLIED;SSCI;7265;8.5;Q1;Q1
IEEE Journal of Selected Topics in Signal Processing;19324553;19410484;ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;11536;8.5;Q1;Q1
IEEE Transactions on Transportation Electrification;23327782;23327782;ENGINEERING, ELECTRICAL & ELECTRONIC | TRANSPORTATION SCIENCE & TECHNOLOGY;SCIE;24724;8.5;Q1;Q1
IEEE Vehicular Technology Magazine;15566072;15566080;ENGINEERING, ELECTRICAL & ELECTRONIC | TELECOMMUNICATIONS | TRANSPORTATION SCIENCE & TECHNOLOGY;SCIE;3512;8.5;Q1;Q1
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE;11073756;1791244X;MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;17861;8.5;Q1;Q1
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES;13651609;18734545;ENGINEERING, GEOLOGICAL | MINING & MINERAL PROCESSING;SCIE;41815;8.5;Q1;Q1
JACS Au;N/A;26913704;CHEMISTRY, MULTIDISCIPLINARY;ESCI;12625;8.5;Q1;Q1
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH;07356331;15414140;EDUCATION & EDUCATIONAL RESEARCH;SSCI;4975;8.5;Q1;Q1
Journal of Service Management;17575818;17575826;MANAGEMENT;SSCI;4845;8.5;Q1;Q1
MedComm-Oncology;27696448;27696448;ONCOLOGY;ESCI;571;8.5;Q1;Q1
MICROBIOLOGICAL RESEARCH;09445013;16180623;MICROBIOLOGY;SCIE;16931;8.5;Q1;Q1
Microstructures;N/A;27702995;MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;1301;8.5;Q1;Q1
Molecular Therapy Oncology;N/A;29503299;MEDICINE, RESEARCH & EXPERIMENTAL | ONCOLOGY;SCIE;4866;8.5;Q1;Q1
Neural Regeneration Research;16735374;18767958;CELL BIOLOGY | NEUROSCIENCES;SCIE;18350;8.5;Q1;Q1
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS;01497634;18737528;BEHAVIORAL SCIENCES | NEUROSCIENCES;SCIE;53277;8.5;Q1;Q1
npj Parkinsons Disease;N/A;23738057;NEUROSCIENCES;SCIE;7996;8.5;Q1;Q1
Progress in Biomedical Engineering;N/A;25161091;ENGINEERING, BIOMEDICAL;ESCI;906;8.5;Q1;Q1
Alcohol Research-Current Reviews;15357414;19300573;SUBSTANCE ABUSE;SSCI;2700;8.4;Q1;Q1
Annual Review of Sociology;03600572;15452115;SOCIOLOGY;SSCI;17885;8.4;Q1;Q1
Australasian Marketing Journal;14413582;18393349;BUSINESS;ESCI;3169;8.4;Q1;Q1
BUILDING AND ENVIRONMENT;03601323;1873684X;CONSTRUCTION & BUILDING TECHNOLOGY | ENGINEERING, CIVIL | ENGINEERING, ENVIRONMENTAL;SCIE;79672;8.4;Q1;Q1
Cell Genomics;2666979X;2666979X;CELL BIOLOGY | GENETICS & HEREDITY;ESCI;3832;8.4;Q1;Q1
Chem & Bio Engineering;2836967X;2836967X;ENGINEERING, CHEMICAL;ESCI;883;8.4;Q1;Q1
EMBO JOURNAL;02614189;14602075;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY;SCIE;63452;8.4;Q1;Q1
IEEE TRANSACTIONS ON COMMUNICATIONS;00906778;15580857;ENGINEERING, ELECTRICAL & ELECTRONIC | TELECOMMUNICATIONS;SCIE;36974;8.4;Q1;Q1
IEEE Transactions on Systems Man Cybernetics-Systems;21682216;21682232;AUTOMATION & CONTROL SYSTEMS | COMPUTER SCIENCE, CYBERNETICS;SCIE;37379;8.4;Q1;Q1
International Journal of Transgender Health;26895269;26895277;PSYCHOLOGY, CLINICAL | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH | SOCIAL SCIENCES, BIOMEDICAL | SOCIAL SCIENCES, INTERDISCIPLINARY;SCIE, SSCI | SSCI;3422;8.4;Q1;Q1
JACC-Basic to Translational Science;2452302X;2452302X;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;5274;8.4;Q1;Q1
JOURNAL OF POWER SOURCES;03787753;18732755;CHEMISTRY, PHYSICAL | ELECTROCHEMISTRY | ENERGY & FUELS | MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;161739;8.4;Q1;Q1
Journal of Sustainable Tourism;09669582;17477646;GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY | HOSPITALITY, LEISURE, SPORT & TOURISM;SSCI;15117;8.4;Q1;Q1 | Q2
Machine Learning and Knowledge Extraction;N/A;25044990;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS | ENGINEERING, ELECTRICAL & ELECTRONIC;ESCI;3187;8.4;Q1;Q1
Microplastics and Nanoplastics;N/A;26624966;ENVIRONMENTAL SCIENCES;ESCI;1195;8.4;Q1;Q1
npj Breast Cancer;N/A;23744677;ONCOLOGY;SCIE;5678;8.4;Q1;Q1
SOIL & TILLAGE RESEARCH;01671987;18793444;SOIL SCIENCE;SCIE;31004;8.4;Q1;Q1
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES;0968090X;18792359;TRANSPORTATION SCIENCE & TECHNOLOGY;SCIE;36850;8.4;Q1;Q1
Adolescent Research Review;23638346;23638354;PSYCHOLOGY, DEVELOPMENTAL | SOCIAL SCIENCES, INTERDISCIPLINARY;SSCI;1866;8.3;Q1;Q1
Animal Nutrition;24056383;24056545;AGRICULTURE, DAIRY & ANIMAL SCIENCE | VETERINARY SCIENCES;SCIE;8117;8.3;Q1;Q1
Annual Review of Analytical Chemistry;19361327;19361335;CHEMISTRY, ANALYTICAL | SPECTROSCOPY;SCIE;2748;8.3;Q1;Q1
Annual Review of Genomics and Human Genetics;15278204;1545293X;GENETICS & HEREDITY;SCIE;3481;8.3;Q1;Q1
Brain Informatics;21984018;21984026;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | NEUROSCIENCES;ESCI;1261;8.3;Q1;Q1
Circulation-Heart Failure;19413289;19413297;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;11196;8.3;Q1;Q1
CLINICAL CHEMISTRY;00099147;15308561;MEDICAL LABORATORY TECHNOLOGY;SCIE;22922;8.3;Q1;Q1
CLINICAL INFECTIOUS DISEASES;10584838;15376591;IMMUNOLOGY | INFECTIOUS DISEASES | MICROBIOLOGY;SCIE;77853;8.3;Q1;Q1
Computational Visual Media;20960433;20960662;COMPUTER SCIENCE, SOFTWARE ENGINEERING;SCIE;3383;8.3;Q1;Q1
Data and Information Management;N/A;25439251;INFORMATION SCIENCE & LIBRARY SCIENCE;ESCI;588;8.3;Q1;Q1
DIABETES-METABOLISM RESEARCH AND REVIEWS;15207552;15207560;ENDOCRINOLOGY & METABOLISM;SCIE;8455;8.3;Q1;Q1
Eurosurveillance;1025496X;15607917;INFECTIOUS DISEASES;SCIE;12192;8.3;Q1;Q1
IEEE COMMUNICATIONS MAGAZINE;01636804;15581896;ENGINEERING, ELECTRICAL & ELECTRONIC | TELECOMMUNICATIONS;SCIE;21745;8.3;Q1;Q1
Immunity & Ageing;17424933;17424933;GERIATRICS & GERONTOLOGY | IMMUNOLOGY;SCIE;3583;8.3;Q1;Q1
International Journal of Hospitality Management;02784319;18734693;HOSPITALITY, LEISURE, SPORT & TOURISM;SSCI;25618;8.3;Q1;Q1
International Soil and Water Conservation Research;20956339;2589059X;ENVIRONMENTAL SCIENCES | SOIL SCIENCE | WATER RESOURCES;SCIE;4175;8.3;Q1;Q1
JOURNAL OF CLINICAL PERIODONTOLOGY;03036979;1600051X;DENTISTRY, ORAL SURGERY & MEDICINE;SCIE;23972;8.3;Q1;Q1
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY;08947317;N/A;CARDIAC & CARDIOVASCULAR SYSTEMS;SCIE;13120;8.3;Q1;Q1
Kidney International Supplements;21571724;21571716;UROLOGY & NEPHROLOGY;SCIE;2930;8.3;Q1;Q1
MOLECULAR MEDICINE;10761551;15283658;BIOCHEMISTRY & MOLECULAR BIOLOGY | CELL BIOLOGY | MEDICINE, RESEARCH & EXPERIMENTAL;SCIE;11517;8.3;Q1;Q1
NEPHROLOGY DIALYSIS TRANSPLANTATION;09310509;14602385;TRANSPLANTATION | UROLOGY & NEPHROLOGY;SCIE;27653;8.3;Q1;Q1
PROGRESS IN PLANNING;03059006;18734510;ENVIRONMENTAL STUDIES | REGIONAL & URBAN PLANNING;SSCI;1560;8.3;Q1;Q1
Resources Conservation & Recycling Advances;26673789;26673789;ENVIRONMENTAL SCIENCES;ESCI;1482;8.3;Q1;Q1
Reviews of Environmental Contamination and Toxicology;01795953;21976554;ENVIRONMENTAL SCIENCES | TOXICOLOGY;SCIE;3300;8.3;Q1;Q1
SENSORS AND ACTUATORS B-CHEMICAL;N/A;09254005;CHEMISTRY, ANALYTICAL | ELECTROCHEMISTRY | INSTRUMENTS & INSTRUMENTATION;SCIE;133558;8.3;Q1;Q1
THIN-WALLED STRUCTURES;02638231;18793223;ENGINEERING, CIVIL | ENGINEERING, MECHANICAL | MECHANICS;SCIE;51627;8.3;Q1;Q1
